ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
2028,Oil_thermal,0.5456,-3.05445119,-69.002235,2020,67264.79009
2032,Oil_thermal,0.232,-12.9999983,-60.94480395,2020,21143.67804
2036,Oil_thermal,3.18,-3.70101671,-65.33081093,2020,392049.1798
2040,Oil_thermal,1.92,-3.41817574,-68.28735283,2020,236708.9387
2052,Oil_thermal,5.35,-7.20250574,-59.88690518,2020,659579.5949
2056,Oil_thermal,7.67,-5.12066596,-60.38043633,2020,945602.8959
2064,Oil_thermal,1.52,-4.36615749,-70.18798928,2020,187394.5765
2068,Oil_thermal,7.94,-3.57942916,-59.13275442,2020,978890.0904
2072,Oil_thermal,0.9,-4.04549803,-59.37053558,2020,110957.315
2076,Oil_thermal,1.222,-1.89737215,-50.21113971,2020,150655.3766
2080,Oil_thermal,0.72,-7.35277998,-50.4075014,2020,88765.85203
2084,Oil_thermal,5.26,-0.97274561,-62.9256602,2020,648483.8634
2088,Oil_thermal,0.44,-9.29167023,-50.04608449,2020,54245.79846
2092,Oil_thermal,2.982,-2.8063048,-57.06650043,2020,367638.5705
2096,Oil_thermal,0.3088,-8.52174068,-46.74677434,2020,38070.68765
2100,Oil_thermal,5.12,-4.37498902,-70.02734843,2020,631223.8366
2104,Oil_thermal,6.52,-3.89780895,-61.37472681,2020,803824.1045
2108,Oil_thermal,0.75,-3.07833887,-68.06277772,2020,92464.4292
2112,Oil_thermal,2.76,-2.96885845,-57.58803746,2020,340269.0994
2116,Oil_thermal,7.641,-8.76805555,-67.31888888,2020,942027.6046
2120,Oil_thermal,0.224,-12.43831043,-64.22856358,2020,20414.5857
2124,Oil_thermal,5.6,-4.38972222,-59.59611111,2020,690401.0713
2132,Oil_thermal,4.1,-2.46083334,-57.10277778,2020,505472.2129
2140,Oil_thermal,169.08,-7.23073189,-35.889979,2020,16581295.44
2144,Oil_thermal,0.55,-3.30562507,-60.61374745,2020,67807.24808
2148,Oil_thermal,3.38,-6.53444444,-64.38361111,2020,416706.3609
2152,Oil_thermal,5.456,-4.87722222,-66.89638889,2020,672647.9009
2156,Oil_thermal,2.42,-3.19739694,-59.82631389,2020,298351.8915
2160,Oil_thermal,17.52,-3.81888888,-60.36805553,2020,2159969.066
2164,Oil_thermal,0.8544,-3.30496317,-60.61485602,2020,105335.4777
2168,Oil_thermal,32.6,-21.54869966,-47.77251455,2020,2971051.311
2172,Oil_thermal,138.172,-22.35628767,-46.96053455,2020,12592518.46
2176,Oil_thermal,19.31,-4.09055556,-63.14694444,2020,2380650.837
2184,Oil_thermal,10.946,-13.11489866,-60.51859055,2020,997580.6028
