ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
1,Biomass_thermal,71,-20.48184967,-47.86622455,2017,51290348.4
5,Biomass_thermal,30,-15.03297384,-57.21052538,2017,21671978.2
9,Biomass_thermal,8.4,-20.74957275,-47.5686176,2017,6068153.895
13,Biomass_thermal,63,-21.21160967,-48.82963455,2017,45511154.21
17,Biomass_thermal,40,-22.65729996,-47.21090003,2017,28895970.93
21,Biomass_thermal,9,-21.11118967,-47.81657455,2017,6501593.459
25,Biomass_thermal,11.5,-22.79900328,-47.12506283,2017,8307591.642
29,Biomass_thermal,14,-22.58236967,-47.52161455,2017,10113589.82
33,Biomass_thermal,5.8,-22.41211192,-46.80530719,2017,4189915.784
37,Biomass_thermal,14.7,-19.9881,-47.79816,2017,10619269.32
41,Biomass_thermal,51,-22.57108967,-50.64415455,2017,36842362.93
45,Biomass_thermal,16.4,-20.77865967,-48.19187455,2017,11847348.08
49,Biomass_thermal,54,-21.18146967,-48.64470455,2017,39009560.75
53,Biomass_thermal,84,-21.76277778,-48.08388889,2017,60681538.95
57,Biomass_thermal,35,-21.17198178,-47.61886799,2017,25283974.56
61,Biomass_thermal,50,-22.99734967,-47.52019455,2017,36119963.66
65,Biomass_thermal,8,-21.32896867,-50.95548817,2017,5779194.185
69,Biomass_thermal,8,-8.55789966,-35.53499455,2017,4313524.413
73,Biomass_thermal,97,-20.61331879,-48.00080787,2017,70072729.5
77,Biomass_thermal,43,-20.93854716,-48.25026517,2017,31063168.75
81,Biomass_thermal,40.75,-22.4264,-47.3575,2017,29437770.38
85,Biomass_thermal,80.3,-22.48351967,-48.77101455,2017,58008661.64
89,Biomass_thermal,4.8,-22.81638889,-47.56805556,2017,3467516.511
93,Biomass_thermal,70,-21.88559823,-47.30533168,2017,50567949.12
97,Biomass_thermal,73,-21.35804889,-48.06558306,2017,52735146.94
101,Biomass_thermal,62.9,-22.62529358,-48.75681592,2017,45438914.28
105,Biomass_thermal,39.6,-22.17216,-47.33762,2017,28607011.22
109,Biomass_thermal,1.38,-23.23834547,-47.61332578,2017,996910.997
113,Biomass_thermal,3.8,-23.1615,-47.7832,2017,2745117.238
117,Biomass_thermal,25.2,-21.1234645,-48.00937689,2017,18204461.68
121,Biomass_thermal,12,-21.56486967,-50.95939455,2017,8668791.278
125,Biomass_thermal,11,-21.00071945,-48.02481713,2017,7946392.005
129,Biomass_thermal,3.6,-22.76160992,-47.47835995,2017,2600637.383
133,Biomass_thermal,42,-21.33718967,-48.29298455,2017,30340769.47
137,Biomass_thermal,28,-21.04088967,-48.71079455,2017,20227179.65
141,Biomass_thermal,4,-21.8318,-47.7505,2017,2889597.093
145,Biomass_thermal,35,-17.61731817,-54.76151625,2017,25283974.56
149,Biomass_thermal,7,-21.46899111,-47.00717112,2017,5056794.912
153,Biomass_thermal,14.8,-22.67166667,-48.5425,2017,10691509.24
157,Biomass_thermal,4,-21.03749824,-47.96999857,2017,2889597.093
161,Biomass_thermal,4,-21.11899966,-47.99945455,2017,2889597.093
165,Biomass_thermal,3.2,-20.96691,-40.9468,2017,2311677.674
169,Biomass_thermal,70,-21.972011,-46.796351,2017,50567949.12
173,Biomass_thermal,6.8,-21.45893584,-50.79378571,2017,4912315.058
177,Biomass_thermal,30,-22.1056,-48.4817,2017,21671978.2
181,Biomass_thermal,33,-21.00128744,-48.27609011,2017,23839176.02
185,Biomass_thermal,90,-20.47900967,-48.40153455,2017,65015934.59
189,Biomass_thermal,64.8,-20.68838,-49.11125,2017,46811472.9
193,Biomass_thermal,42.5,-21.468475,-49.22175,2017,30701969.11
197,Biomass_thermal,5,-15.92128966,-55.21499455,2017,3611996.366
201,Biomass_thermal,2.8,-15.96483818,-54.96418817,2017,2022717.965
205,Biomass_thermal,75,-21.0096722,-47.99237481,2017,54179945.49
209,Biomass_thermal,12,-21.09830805,-49.02051194,2017,8668791.278
213,Biomass_thermal,89,-20.20183,-49.35565,2017,64293535.31
217,Biomass_thermal,6,-21.40130021,-49.89350002,2017,4334395.639
221,Biomass_thermal,17,-22.74073355,-50.598509,2017,12280787.64
225,Biomass_thermal,1.6,-22.05632484,-49.32094528,2017,1155838.837
229,Biomass_thermal,4,-21.62772593,-48.83048282,2017,2889597.093
233,Biomass_thermal,1.384,-22.67514966,-49.76271455,2017,999800.5941
237,Biomass_thermal,4.87,-27.02344695,-50.92507889,2017,3558121.817
241,Biomass_thermal,4.2,-21.23071457,-50.77811977,2017,3034076.947
245,Biomass_thermal,4.968,-22.33555556,-47.40833333,2017,3588879.589
249,Biomass_thermal,38.1,-22.34972019,-52.52397291,2017,27523412.31
253,Biomass_thermal,0.65,-21.82747807,-47.24949879,2017,469559.5276
257,Biomass_thermal,75,-20.94366271,-48.08338624,2017,54179945.49
261,Biomass_thermal,3.2,-21.47666667,-46.80583333,2017,2311677.674
265,Biomass_thermal,2.76,-20.74808175,-49.71901433,2017,1993821.994
269,Biomass_thermal,2.76,-23.23833333,-47.613,2017,1993821.994
273,Biomass_thermal,22,-21.81781325,-48.61221331,2017,15892784.01
277,Biomass_thermal,4,-22.67212966,-48.81557455,2017,2889597.093
281,Biomass_thermal,1.16,-22.72372194,-47.64684611,2017,837983.1569
285,Biomass_thermal,1.25,-3.01823309,-47.37136676,2017,1809081.481
289,Biomass_thermal,0.7,-21.15500018,-47.92842991,2017,505679.4912
293,Biomass_thermal,15,-21.48777778,-51.02833333,2017,10835989.1
297,Biomass_thermal,4.2,-29.12100967,-56.54353455,2017,3068606.084
301,Biomass_thermal,2.4,-23.04944,-47.70765,2017,1733758.256
305,Biomass_thermal,78,-20.76989996,-51.25869989,2017,56347143.31
309,Biomass_thermal,3,-26.47727966,-49.15049455,2017,2191861.489
313,Biomass_thermal,25,-22.46995967,-50.77933455,2017,18059981.83
317,Biomass_thermal,1.8512,-22.60321398,-46.92949216,2017,1337305.535
321,Biomass_thermal,4.4,-21.91459057,-50.86549965,2017,3178556.802
325,Biomass_thermal,9.4,-20.82110014,-48.82270001,2017,6790553.168
329,Biomass_thermal,10,-9.50138694,-36.02142694,2017,5391905.516
333,Biomass_thermal,10,-23.37083709,-52.70887682,2017,7306204.962
337,Biomass_thermal,75,-21.09656522,-48.93353455,2017,54179945.49
341,Biomass_thermal,3.6,-22.87330621,-47.45355109,2017,2600637.383
345,Biomass_thermal,8.949,-21.19320283,-49.13722129,2017,6464751.096
349,Biomass_thermal,1.2,-22.30909996,-51.2209999,2017,866879.1278
353,Biomass_thermal,32,-20.72833333,-50.95972222,2017,23116776.74
357,Biomass_thermal,3.864,-22.6777,-49.4202,2017,2791350.792
361,Biomass_thermal,2.4,-21.19895932,-51.21635575,2017,1733758.256
365,Biomass_thermal,3.88,-23.52433367,-48.92872555,2017,2802909.18
369,Biomass_thermal,33,-22.7673489,-50.11279597,2017,23839176.02
373,Biomass_thermal,14.312,-9.98331876,-36.22781949,2017,7716895.175
377,Biomass_thermal,80.5,-21.84494932,-47.3602798,2017,58153141.49
381,Biomass_thermal,3.8,-20.57509978,-50.38439989,2017,2745117.238
385,Biomass_thermal,20,-22.94083333,-49.77,2017,14447985.46
389,Biomass_thermal,3.7,-23.50046108,-49.03805856,2017,2672877.311
393,Biomass_thermal,16.4,-20.23456566,-50.34386732,2017,11847348.08
397,Biomass_thermal,6.6,-21.9130997,-48.11468741,2017,4767835.203
401,Biomass_thermal,6.5,-22.33879999,-48.40660002,2017,4695595.276
405,Biomass_thermal,40,-23.56777222,-52.42850236,2017,29224819.85
409,Biomass_thermal,14,-22.46577992,-50.49197002,2017,10113589.82
413,Biomass_thermal,12,-21.16681229,-48.81174752,2017,8668791.278
417,Biomass_thermal,56.715,-20.27920967,-48.17553455,2017,40970874.78
421,Biomass_thermal,27.5,-22.78500529,-50.54834123,2017,19865980.01
425,Biomass_thermal,58.4,-21.56073371,-49.86998663,2017,42188117.55
429,Biomass_thermal,12,-23.12600967,-54.19243455,2017,8668791.278
433,Biomass_thermal,73.8,-21.6962,-54.55733,2017,53313066.36
437,Biomass_thermal,65,-15.21700236,-48.98868983,2017,46955952.76
441,Biomass_thermal,7.3,-15.21519999,-49.09690008,2017,5273514.694
