ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
2202,Coal_thermal_power_plant,20,-23.85222205,-50.3902778,2018,9542277.607
2258,Coal_thermal_power_plant,232,-28.45423334,-48.96906967,2018,110690420.2
2590,Coal_thermal_power_plant,262,-28.45423333,-48.96906967,2018,125003836.6
2594,Coal_thermal_power_plant,363,-28.45423334,-48.96906967,2018,173192338.6
2966,Coal_thermal_power_plant,1.275,-20.10500226,-44.97695126,2018,0
3100,Coal_thermal_power_plant,5,-27.23360025,-52.0317881,2018,2385569.402
3148,Coal_thermal_power_plant,103.854,-1.54139616,-48.7325286,2018,30171143.57
4204,Coal_thermal_power_plant,75.2,-2.70675716,-44.35099291,2018,21846727.1
4372,Coal_thermal_power_plant,360.137,-2.52462078,-44.29609011,2018,104625196.3
4392,Coal_thermal_power_plant,720.274,-3.55240833,-38.80846389,2018,531894777.5
4460,Coal_thermal_power_plant,350,-31.54575074,-53.65658261,2018,166989858.1
5136,Coal_thermal_power_plant,365,-3.591843,-38.86609011,2018,269538528.1
7020,Coal_thermal_power_plant,345,-31.45092615,-53.77901991,2018,164604288.7
