ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
3,Biomass_thermal,71,-20.48184967,-47.86622455,2019,54912796.73
7,Biomass_thermal,30,-15.03297384,-57.21052538,2019,23202590.17
11,Biomass_thermal,8.4,-20.74957275,-47.5686176,2019,6496725.247
15,Biomass_thermal,63,-21.21160967,-48.82963455,2019,48725439.35
19,Biomass_thermal,40,-22.65729996,-47.21090003,2019,30936786.89
23,Biomass_thermal,9,-21.11118967,-47.81657455,2019,6960777.05
27,Biomass_thermal,11.5,-22.79900328,-47.12506283,2019,8894326.231
31,Biomass_thermal,14,-22.58236967,-47.52161455,2019,10827875.41
35,Biomass_thermal,5.8,-22.41211192,-46.80530719,2019,4485834.099
39,Biomass_thermal,14.7,-19.9881,-47.79816,2019,11369269.18
43,Biomass_thermal,51,-22.57108967,-50.64415455,2019,39444403.28
47,Biomass_thermal,16.4,-20.77865967,-48.19187455,2019,12684082.62
51,Biomass_thermal,54,-21.18146967,-48.64470455,2019,41764662.3
55,Biomass_thermal,84,-21.76277778,-48.08388889,2019,64967252.47
59,Biomass_thermal,35,-21.17198178,-47.61886799,2019,27069688.53
63,Biomass_thermal,50,-22.99734967,-47.52019455,2019,38670983.61
67,Biomass_thermal,8,-21.32896867,-50.95548817,2019,6187357.378
71,Biomass_thermal,8,-8.55789966,-35.53499455,2019,4014106.404
75,Biomass_thermal,97,-20.61331879,-48.00080787,2019,75021708.21
79,Biomass_thermal,43,-20.93854716,-48.25026517,2019,33257045.91
83,Biomass_thermal,40.75,-22.4264,-47.3575,2019,31516851.64
87,Biomass_thermal,80.3,-22.48351967,-48.77101455,2019,62105599.68
91,Biomass_thermal,4.8,-22.81638889,-47.56805556,2019,3712414.427
95,Biomass_thermal,70,-21.88559823,-47.30533168,2019,54139377.06
99,Biomass_thermal,73,-21.35804889,-48.06558306,2019,56459636.07
103,Biomass_thermal,62.9,-22.62529358,-48.75681592,2019,48648097.38
107,Biomass_thermal,39.6,-22.17216,-47.33762,2019,30627419.02
111,Biomass_thermal,1.38,-23.23834547,-47.61332578,2019,1067319.148
115,Biomass_thermal,3.8,-23.1615,-47.7832,2019,2938994.755
119,Biomass_thermal,25.2,-21.1234645,-48.00937689,2019,19490175.74
123,Biomass_thermal,12,-21.56486967,-50.95939455,2019,9281036.067
