ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
2201,Coal_thermal_power_plant,20,-23.85222205,-50.3902778,2017,9823602.262
2257,Coal_thermal_power_plant,232,-28.45423334,-48.96906967,2017,113953786.2
2589,Coal_thermal_power_plant,262,-28.45423333,-48.96906967,2017,128689189.6
2593,Coal_thermal_power_plant,363,-28.45423334,-48.96906967,2017,178298381.1
2965,Coal_thermal_power_plant,1.275,-20.10500226,-44.97695126,2017,0
3099,Coal_thermal_power_plant,5,-27.23360025,-52.0317881,2017,2455900.565
3147,Coal_thermal_power_plant,103.854,-1.54139616,-48.7325286,2017,44845557.86
4203,Coal_thermal_power_plant,75.2,-2.70675716,-44.35099291,2017,32472374.21
4371,Coal_thermal_power_plant,360.137,-2.52462078,-44.29609011,2017,155512013.7
4391,Coal_thermal_power_plant,720.274,-3.55240833,-38.80846389,2017,678090439
4459,Coal_thermal_power_plant,350,-31.54575074,-53.65658261,2017,171913039.6
5135,Coal_thermal_power_plant,365,-3.591843,-38.86609011,2017,343623413.1
7019,Coal_thermal_power_plant,345,-31.45092615,-53.77901991,2017,169457139
