ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
2204,Coal_thermal_power_plant,20,-23.85222205,-50.3902778,2020,11565908.06
2260,Coal_thermal_power_plant,232,-28.45423334,-48.96906967,2020,134164533.5
2592,Coal_thermal_power_plant,262,-28.45423333,-48.96906967,2020,151513395.6
2596,Coal_thermal_power_plant,363,-28.45423334,-48.96906967,2020,209921231.3
3102,Coal_thermal_power_plant,5,-27.23360025,-52.0317881,2020,2891477.015
3150,Coal_thermal_power_plant,103.854,-1.54139616,-48.7325286,2020,27894894.92
4206,Coal_thermal_power_plant,75.2,-2.70675716,-44.35099291,2020,20198510.39
4374,Coal_thermal_power_plant,360.137,-2.52462078,-44.29609011,2020,96731794.36
4394,Coal_thermal_power_plant,720.274,-3.55240833,-38.80846389,2020,248389666.6
4462,Coal_thermal_power_plant,350,-31.54575074,-53.65658261,2020,202403391.1
5138,Coal_thermal_power_plant,365,-3.591843,-38.86609011,2020,125871860.3
7022,Coal_thermal_power_plant,345,-31.45092615,-53.77901991,2020,199511914.1
